NAME,DESCRIPTION,Name_cluster,Desc_cluster,
Sales Cloud Unlimited Edition,Salesforce.com currently provides functionality to configure partner portals. Partner portals allow partner users to log in to Salesforce through a web portal rather than through salesforce.com,,16,
Sales Production Report Application,"Projection Production Credit for each-month per region Actuals comes from raleigh (daily), planned comes from the business annually. Resides on SQL DB and for reporting crystal reports.",,,
SALES PROMOTION GOAL ENTRY SPGE,"Used for List 60 budgets & for goal input. Interfacing applications are Expected Results, Results Measurements, Honor Ring, List 60.",,,
SALES REPORTS,"Tracks new business - cur wk, cur mo, ytd for various channels. Includes mainframe jobs AP131 and PSMK0430.",,,
Sales Suspense Time Service,Used to track policy information and requirements present in Allstate New Business Database on daily basis.,,,
Sales Tracking and Analysis Reporting System (STARS),OLAP based tracking application which uses Transcend data to verify agent commissions. MBA sales reporting tool.,,17,
SALVAGE CONTROL SYSTEM,"Allstates Salvage system enables Claim Admin. Personnel to manage auto salvage by location: via on-line data entry and batch reporting system. Salvage sales are reported to Claim Cycle for """"posting"""". Contract: auction: and bids are reported to NICB via",,,
SAM - SERVER AVAILABILITY MANAGER (UNIX),Customized application used by the ESM Technology Support teams and provides a summarized view of server agent inconsistencies within the enterprise. It also provides reporting and ticketing features.,,,
SAM - SERVER AVAILABILITY MANAGER (WINDOWS),Customized application used by the ESM Technology Support teams and provides a summarized view of server agent inconsistencies within the enterprise. It also provides reporting and ticketing features.,,,
SAP - Plant Maintenance,Activities in Plant Maintenance (PM): -Creating/changing/replacing a work center; -Creating/changing a hierarchy; -Creating/changing capacity; -Capacity where-used list,,17,
SAP - Travel and Expense (Customized),"Custom .NET application integrated with standard SAP Travel Management components in a back-end. Functions: Credit card buffer, expense type selection, cost assignment for entire trip, mileage reimbursement, T&E approval request workflow",,17,
SAP - Warehouse Management,"SAP Warehouse Management provides functionality to optimize warehouse activities including inbound and outbound shipments, manage storage with storage types, sections and bins and perform inventory counts and sampling with cycle counting. WM also includes RF functionality with SAP console (Allstate has implemented RF).",,17,
SAP Claims Management,"SAP Claims Financial - CAT IBNR (incurred but not reported claims) and SUB/SAL. The Claims Management component includes the following areas: -Report of the claim; -Receipt of first data; -Editing and processing the claim; -Determination of obligation to pay compensation, evaluation of claim items, creation of participants, creation of notes, archiving and output of documents. Financial processing: -Reserves, compensation, subrogation, salvage, payment orders; -Management of the claim;",,,
SAP EP ENTERPRISE PORTAL BI,"SAProuter is an SAP program that acts as an proxy in a network connection between SAP Systems, or between SAP Systems and external networks. SAP (the vendor) connects to allstate network through SAP router in case of support or if they need to schedule a service delivery to be executed on our SAP systems.",,17,
SAP EP ENTERPRISE PORTAL ERP,"The front end of the SAP NetWeaver platform. Apps called iViews let you retrieve data from sources in your company & on the Internet. The Web-based environment of the portal provides the business users secure access to a wide array of apps, info, & services. SAP NetWeaver enables portal users to work with one another in real-time, sharing apps, working in virtual rooms, & communicating through instant messaging.",,17,
SAP Financial - ICR (One Recon),Use cross-system Intercompany Reconciliation (ICR) for your requirements in Financial Accounting. This function is part of Closing Operations in Financial Accounting; and it is assigned to Periodic Processing in General Ledger Accounting.,,17,
SAP FS - Policy Management,"SAP Policy Management is a central component for the insurance solution portfolio (SAP for Insurance). This integration ensures that the communication with other SAP components, such as FS-BP (Business Partner), FS-CD (Collections/Disbursements), FS-CM (Claims), FS-CS/FS-ICM (Commissions), FS-RI (Reinsurance) is seamless thanks to defined interfaces. Integration with systems of other providers is also possible.",,17,
SAP FS - Reinsurance,The Reinsurance module for SAP. Part of the SAP FSCD (Insurance) landscape (PV2). SOD (Specialty Operations Division aka Allcede) and ACD (Allstate Credit Division) are the business units using it,,,
SAP GUI,Allows a user to access SAP functionality in SAP applications such as SAP ERP and SAP Business Warehouse. It is the platform used for remote access to the SAP central server in a company network.,,,
SAP HR - Organization Management,"In Organizational Management an HR manager performs the following typical tasks: -Calling information relating to the organizational plan and other organizational structures; -Calling information about job and position descriptions; -Calling information about vacancies; -Activities in Organizational Management; -Displaying the organizational plan, matrix organizations, and general structures; -Evaluating organizational and report structures, jobs, and positions",,,
SAP HR - Payroll,"Is used to calculate the remuneration for work done for each employee. The System calculates the gross and net pay, which comprises the individual payments and deductions that are calculated during a payroll period, and are received by an employee. These payments and deductions are included in the calculation of the remuneration using different wage types",,,
SAP HR - Personal Administration,"Performs all tasks that relate to the admin of employees. Main tasks include support, admin, and advising all employees in the relevant areas.",,17,
SAP NetWeaver Development Infrastructure,Developmnent infrastructure for SAP Java development,,,
SAP PI PROCESS INTEGRATION,"PI (Process Integration) is SAP's enterprise application integration (EAI) software, a component of the NetWeaver product group, It's enabling Application-to-Application Processes, Business-to-Business Processes, Business Process Management, Enterprise Services",,17,
SAP Router,"SAProuter is an SAP program that acts as an proxy in a network connection between SAP Systems, or between SAP Systems and external networks. SAP (the vendor) connects to allstate network through SAP router in case of support or if they need to schedule a service delivery to be executed on our SAP systems.",,,
SAP SECURITY,Internally developed application to handle role permissions on SAP system,,17,
SAP SRM-MDM MASTER DATA MANAGEMENT CATALOG,SAP SAP SRM-MDM is a subset of the MDM suite that would enable consolidation of master data from your entire system landscape and make it available in all your systems. SRM-MDM contains many of the functions of the entire suite but is focused on providing catalog functionality to the SRM-Enterprise Buyer Professional Tool (6a).,,,
SAP Travel And Expense Single Sign On,Single Sign-on (SSO)for NetWeaver is an SAP-certified solution that is extended to support T&E process,,17,
SBI Development - FARM,"Server Base Image development environment used for establishing operating system, hardware or application functionality. This is used for multi platform tracking of SBI image testing, including VMWare, Windows, Linux and UNIX operating systems.",,17,
Scanning Abstracts,Legacy web application repository for basic research scanning process.,,,
SCEPTOR,"Sceptor captures policy and claim information for the Direct book of business (NESCO and Canada), and allows payment tracking and reporting.",,17,
SCEPTOR - MAINFRAME,"An integrated, yet modular insurance management system used to process policies, claims tracking and accounting.",,,
SCHEDULE F,"Schedule F is a process that is captured as part the annual statement. The Schedule F, among other schedules is a requirement of the National Association of Insurance Commissioners (NAIC). The purpose of Schedule F is to provide information on the reinsurance arrangements of a company. It includes detailed information on both assumed and ceded reinsurance, as well as portfolio transfers.",,,
Schedule F Download,Download publications for Schedule F from the M-sys to the clients machine via FTP,,,
Schedule F Web,Make adjustments to Schedule F Batch Data.,,,
Schedule IT,"NE App. ScheduleIT is a scheduler application used to automate scheduling of LBL applications or other routine processes. Schedular is running on m/c """"053-ELF12""""",,,
Scripted User Specified Infrastructure Erector (SUSIE),The SUSIE application will be used to make new Table B CGR assignments available using existing Table B assignments and modeled results from the Hobbs tool that QR&A uses.,,,
SCS Suite (Service Contract System),SCS is a comprehensive solution that manages all aspects of F&I product administration,,,
SDM - Sales Data Mart,"The Sales Data Mart (SDM) is owned by the Marketing/CES/Sales team within the Information Services Group. This data mart consists of data from three major applications, List 60 New Business, Customer Satisfaction Retention Profitability Report (CSRP) and Agent Income Profitability Report (AIPR).",,,
Search and Retrieve,App which retrieves stored documents from OCS,,17,
Securities Licensing Reporting,"These reports identify agents who are on pace with meeting the AF Production Credit requirements and those who are not. This is used by EA, EFS, FS, FSL, FCP, and Home Office personnel.",,,
Security Provisioning User Management Applications,A set of in-house developed Security Provisioning User Management Applications,,17,
Security Services Automation,Collection of Scripts used by Security Services for user administration and policy enforcement.,,,
Security Subsystem,Provides branch/producer level access/authorization for policy level data.,,,
Security-JumpServers,A grouping of servers that the direct access from MPN to Tier 1 and Tier 2 PCI servers. The approach is to restrict access to APN servers by allowing one IP to access APN where all administrators need to logon to this servers aka jump-servers.,,,
SEEC,AFT Transactional Business Components Building Tool. A vended service layer used in AFT to integrate with back-office systems.,,,
SelectHR rEcruit Web App,"SelectHR offers a comprehensive modular suite of functionality that includes but is not limited to absence management, learning and development, applicant tracking, employee and manager self-service, online recruitment",,17,
SelectHR Web Edition,"SelectHR offers a comprehensive modular suite of functionality that includes but is not limited to absence management, learning and development, applicant tracking, employee and manager self-service, online recruitment",,,
Selerix Benefits-Selection,"provides web-based tools and integrated services that automate most aspects of benefits administration such as enrollment, eligibility management, employee communications and connectivity to payroll",,17,
Self Service Fulfillment (SSF),This is an IVR VXML automated speech recognition telephony application that allows the customer to request insurance documentation,,17,
Separator,This enables the agent to print out a customized separator page with a barcode that can be included with documents faxed to the imaging department,,,
Serena Business Manager,IT request and workflow management software that meets SOX requirements,,17,
Server Manager,Used to manage Marketing applications in the F5,,,
Servers Application,Legacy web application for change and problem management for ARPC servers.,,,
Service Center Desktop,"Application used by the Service Center for calls from the producers. SCD is a web based system built on top of producer connectivity for customer service personnel. This is a system where reps can view documents, tools, job aids, and work conditions that will help them during calls. This also is a place where they can go to get forms needed to send out to callers. My Call log, also located on SCD, is where reps log and track all the calls that they take and what the call was about. My call log is used to verify if callers have previously called in and what they called in for.",,,
Service Management Logging Service,This is an application with an async JMS Queue interface. It provides a cross platform logging framework service.,,,
Service Manager,Web based vended application that allows field managers to manage key data compiled by Service Power,,17,
Service Planner,Web based vended application that displays the forecasted job density across the service network on a map and overlays this with the coverage areas for each adjuster,,,
Service SWAT,Module that checks that supply of service matches service demand.,,,
ServicePower,"An artificial intelligence-based schedule and route optimizer for adjusters, which increases productivity in company-employed workforces. Include Service Power Analytics",,17,
ServicePower Service GPS,"This has not been implemented an dprobably will not be until 2014 Existing dispatching vendor Service Power has a Service GPS product that tracks field employee movements and provides their GPS status in our current Gantt application (v.7.2). Google Earth type mapping application is also available for tracking and reporting is supported by their other product, Service Stats. Desktop app",,,
ServicePower Service Stats,"Not yet purchased will probably not be implementd until 2014 - Service Power has a Service GPS product that tracks field employee movements and provides their GPS status in our current Gantt application (v.7.2). Google Earth type mapping application is also available for tracking and reporting is supported by their other product, Service Stats.",,,
Share Activity Analysis (SAA),"Share Activity Analysis (SAA) is used to generate daily Investment Directives for each Fund Manager in the form of an Access Report, defined by the Fund Manager, that constitute formal investment instructions.",,,
Shared Virtual Desktop,Allstate Shared Virtual Desktop based on Citrix - also know as MyND or CPD _ Citrix Published Desktop,,,
SharePoint Applications Farm,SharePoint application supporting Application sites in the Allstate Enterprise,,,
SharePoint Content Farm,SharePoint application supporting the Content sites in the Enterprise,,,
SharePoint Services Farm,SharePoint application supporting the SharePoint Services in the Enterprise (including search),,17,
Shoplink V 6.37,Thick Client Server estimating tool for auto repairs - vended app - Audatex or ADP Claims Services,,,
SIEBEL For SRMS,"Siebel Instance used with SRMS app, Uses Oracle DB",,17,
Siebel v8.1,CRM Application,,17,
SIGNATURE WELLNESS PLAN,http://www.signaturewellnessplan.com/ - externally facing ARS website,,,
SIM Agency Websites,SIM Partners Agency Websites,,,
SIM Agent Content Submission,SIM Partners Agent Content Submission collects content and changes from agents and stores them in the SIM Back End.,,17,
Sim Partners Agency Web Management Solution,Vended solution of Agency Website and Agency Web Management for exclusive agents only.,,17,
SinglePoint,"This is a service, provided by Boston Software which would enable XML based real time rating responses from Encompass to Boston Softwares WinRater (a comparative rater with large market in state of MA) SinglePoint is the data exchange system which enables IA to connect their WinRater product to carriers",,17,
Sircon Web Service,Onboard system which enables recruiters to send email to prospective Allstate agents with online interview link containing required info to onboard the agent.,,17,
Sirius,Web Site for Sirius is an imaging solution to automate/simplify the auto endorsement process,,,
SiteMinder v12,"SiteMinder is a Single-Sign-On enterprise software, used to authenticate employees to internal applications leveraging Active Directory.",,,
SIU Analytics Management,The Claims Special Investigation Unit (SIU) team use this application to detect Fraud in Claim Processing. There are 600 SIU Investigators countrywide. This is a Allstate written application in Java with a transactional database that has scored data from Hadoop (Big Data system).,,17,
Skills and Competency Tool,SCT enables resources to enter their technical competencies and managers can use the tool to look for expertise available internally. Supported by ATO PDO,,17,
SLBViewer,Read-Only Enterprise Tool for Viewing SLB and GTMs where Network Engineering,,,
SMALL BUSINESS CERTIFICATE OF INSURANCE,This application will generate auto certificates of insurance for commercial line 11 policies.,,,
SMART - SALES MANAGEMENT AND ANALYSIS REPORTING TOOL DATA MART,"SMART is a web platform that serves reports to agents, leaders and HO users.",,17,
SmartDraw v11,SmartDraw is the world's first visual processor. It allows us to create presentation-quality visuals.,,,
SmartPC,Calculation compliance software,,,
SmartSimple Medical Case Management,"Web application providing Claims department access to, and ability to exchange information with preferred Assessment providers & vendors electronically using provincially approved forms",,,
SMC - Signature Motor Club,http://www.sigmotorclub.com - external Internet facing Websites hosted in Savvis,,17,
SMCE Cockpit,SmceCockpit is an SMCE Production Support Internal Application. It will be deployed to different environments. No plans exist at this time for ECC to monitor this application.,,,
SMCE Diagnostics,Internal diagnostics site to support the SMCE portfolio of applications. The IPS Diagnostics web site is specific to the IPS application and is used by internal support team and ECC to monitor the application.,,17,
SMP Log Manager UI,This application is a GUI that will allow to view the log and set the logging level. SMP is an enterprise wide logging service.,,,
SMP Logger,SMP (Service Management Proxy) Logger is a process that receives log messages from client applications and writes them to database.,,,
SMS Text Messaging,This service enables customers to receive notifications from Allstate via text messages.,,,
SMWSG - SERVICE MANAGEMENT WEB SERVICE GATEWAY,The Allstate Sevice Management Web Service Gateway provides a point of interaction with other applications without being tied directly to the product such as Service Manager.,,,
SNAC - Signature National Auto Club,http://www.autoclub.com/SNAC - external Internet facing Websites hosted in Savvis,,,
SNWSG - SERVICE NOW WEB SERVICE GATEWAY,"Used for the Integration of ENS, JRS and other home grown tools to ServiceNow. Entry created to allow port number registration only (really a web service)",,,
Social Security Explorer,Vendor hosted online tool providing calculators that demonstrates hypothetical options for receiving your Social Security benefits. Tool is available at http://impactsells.com/SSE/,,,
SOD - Decision Support,Specialty Operations Division to access Nesco data. CCPS data is also included in the application.,,,
SOD Collection,WEB based application to collect reinsurance collection,,,
SOD DB2 Reporting Environment,"Designed to hold the data from Sceptor, SRLink and Pro-Cede.",,,
SOD Disbursements,The purpose of the Disbursement Database is to apply folio numbers to checks that will be going out from SOD area. ARES needs those folio numbers to clear cash.,,,
SOD Security Login,Common Security Umbrella is common gateway which will act as a Launch Pad for all applications covered under Common Security Umbrella. The Common Gateway will show all the applications.,,,
Software Governance Checklist Tool,This is a PoC application developed to create a checklist to measure code against Allstate Standards,,,
Solaris Native Security (SNS) Management Applications,Applications to help in managing a feature of Solaris called Solaris Native Security Services,,17,
SOURCE REPORTING,I am attempting to cover both the Source Reporting for Surety and for Life 70 together here. Each is just a collection of programs written to provide the tax information about agents to the Federal Government. I really hesitate to even call it a subsystem.,,,
SOUTH CAROLINA AGENT TAX REPORTABLE PAYMENTS,This application is used to collect South Carolina municipal taxes for payments received by Agents,,17,
Southeast Regional Intelligence,Provides reporting and analytics for the Southeast Region Product Management group,,17,
Southern Tax,"Determines tax obligation for Alabama, Louisiana and South Carolina which depends on the total insurance premium for each municipality.",,17,
SOUTHERN ZONE MUNICIPALITY,"Legacy system that converts, summarize, translates Allstate & Encompass data into regulatory data. Provide data (Premium & Claims) to regulatory agencies per their specified format (statistical plan) for their analysis. Periodic reports are produced based on regulatory guidelines. Reports can be a hard copy report, cartridge, diskette, CD-ROM, or Email. Legal mandated external filings to HLDI, NAII, AIPSO, Other State and state agencies from premium and claim detail files.",,,
SOX EPC,The SOX EPC application is used for reconciliation of commission data.,,,
SPA - Service Provider Application,A repository of the Service Provider Network. A Java application hosted on WebSphere Application Server 6.1,,,
Spectrum Technology Platform Enterprise Geocoding Module,"Geo Coding of addresses for the purpose of pricing, risk management, cat modeling and research. (PitneyBowes)",,,
Splitter Mainframe Jobs,Utilities for Product XCOM jobs,,17,
SSEM - SELF SERVICE ESTIMATION MODEL,"Allstate developed tool which helps users create project estimates based on project size, assumptions about project productivity and quality, and other metrics.",,,
SSIB - Sales and Service Integration Bus,Sales and Service Integration Bus. A collection of utilities - see components,,,
SSIB-Diagnostic,This is a website providing diagnostic tools for Sales and Service Integration Bus (ServiceBoss).,,,
SSIS,AFT Integration component to schedule dataload jobs in AFT Databases,,,
STALE CHECK,Used by Accounting department to monitor stale checks and take appropriate action. Any check sent to an agent/user which has not been cashed for 6 months or more is considered to be stale,,,
Stamps.com Enterprise 7.6.0.1828,Mailing and shipping management solution for network of offices. Desktop app,,,
STAT MECH,STAT MECH is a Schedule P application that takes Direct data from the Sceptor system and creates a file to be sent to Home Offices where Schedule P Reports are created. SOD has STATMECH M609 application which executes on KSYS has batch components only (PFNE* jobs).,,17,
STATE & FEDERAL WITHOLDING TAX RECONCILER,BAS App. The State and federal withholding tax reconciliation application helps reconcile both state and federal records. It is also used for quarterly filing of payments to the internal revenue service department.,,,
STATE CALLS,"Uses monthly premium, claim and reserve detail files to satisfy state regulatory requests for information. Reporting may require data from 1 to as many 20 months of detail files for a given report. MUNTAX uses 12 premium detail files at a time to provide information needed to generate disbursements to specific state fire and police districts.",,,
STATISTICAL DATA MONITORING SYSTEM,"Cycle Part 3a uses the C3 and C5 to create a file of sample private passenger automobile claims. The file that is created is the input for a Home Office job that is run monthly. The output of the Home Office job is used by a Statistical Filings job to merge input from Claims, MAX and Closings. The output of that job is sent to SDMS.",,,
STATISTICAL INTERFACE,"This applicate processes all Commercial, Personal, Auto and Canada transactions sent through the NOVA Q. It formats these transactions into Statistical Records that are passed on to the back-end systems. It also sends 'posting codes' to the Billing System for Premium Dollars Recieved or taken away.",,17,
STATMECH M609,Check and Balance onlines and FEP: with reports -- thids could be duplicate,,,
Stats EOD,"This application formats the NOVA OUTPUT Q records from Stat Interface into various files for downstream systems. Onset/Offset statistical records and Agent Comp FC cards are sent to iMAX, Southern Zone Municipal Tax records are sent to Specialty Applications, SDMS policy records are sent to State Calls, Sales records are sent to the Sales Reporting System & Commercial Policy Master records are sent to the Commercial Information System",,,
StatsDB & PC,Statistics & Coverages Database (StatsDB) is populated with policy coverages and statistics when a claim is opened. Product Catalog (PC) contains the list of available premium products and the business rules to translate/expand policy coverages to claim coverages. StatsDB & PC are used in claims processing to provide coverage data to the NextGen application and to provide policy data for downstream financial systems. Claim Fill-in (CFI) is a related application supporting manual entry of policy data.,,,
Storage Foundation for Windows v5.1 - Post Install,This is a post instllation script written to correct the default values used by the Storage Foundation for Windows product,,17,
Street Events,"""Thomson Reuters StreetEvents is a one-stop application for accessing events, transcripts, briefs, SEC filings, and company guidance.",,,
Submit Once Solution,"The Submit Once solution automates the process of importing a resources timesheet, updating status to tasks and submitting the updates to project managers",,17,
Submit to ARS (STARS),Application used by partners to submit dispatching request to ARS,,,
Subro Advocate,"Market Claims Officeuses this website to search Advocate, Consultant or Processor belongs to an MCO",,,
SUBRO MECHANIZATION,"The system manages pending subrogation files; brings them up periodically for scheduled activity, watches the statute of limitations, watches for supplements, etc. It also generates demand letters, manages time payment accounts, tracks the quality of files being sent in and electronically sends out collection agency assignments. This application operates primarily in Texas (R16)",,17,
Summit Marketing Business Builder,Summit will provide a robust online interface for internal employees and external agents. This is a link to http://encompass.summitmg.com/ from the Encompass Agent Dashboard.,,,
SumTotal (LRN) Archive,"This represents the SQL PODS which contains the data retrieved from vendor SumTotal upon termination of the contract, for purposes of future inquiry.",,,
SUNGARD,AFT Broker Dealer Application. Stores client and account information in the Broker/Dealer channel. A web service updates an AFS Oracle database (used by BD IW and InputAccel). Nightly extracts for letter generation.,,,
Super User Management Database,Administrative application to manage super user access for UNIX systems,,,
SURETY INCLUDING ABC,"This system is used to help verify surety agents during phone calls and before releasing information to them. It is also used to set up/delete bank information for policies. This is where all the bank information is pulled from in order to draft the premium on a policy. This feeds into Cyberlife/GUI for drafting purposes. The policy administration is done under the Cyberlife umbrella but the in-house portion of this supports the commission calculations, general accounting, agent processing, and re-insurance. The system is not selling new business.",,,
SwiftRE,SwiftRe online Reinsurance app - a web link to another company's website,,,
SYSTEMS OPERATION CENTER,"This dashboard allows users to monitor business results, check health of applications and generate alerts as needed as well as perform ad-hoc and deep-dive analysis of applications performance on a real-time as well as historical basis. The goal is preserving customer experience and driving business results.",,,
T-Rater (Territorial Rater),This is a Windows client/server territorial ratemaking application that is used by Pricing analysts to develop territorial definitions and base rates for personal private passenger automobile insurance. This application uses scenario data from both the Indications and Browser Query applications.,,17,
T1TDOCSAGENT,This is a .NET application that sends the TDOCS agent data from a windows TDOCS server to mainframe.,,,
T2TDOCSDIRECT,This is a .NET application that sends the TDOCS direct data from a windows TDOCS server to mainframe,,17,
TAI Life Reinsurance System,TAI is used by the Reinsurance Administration team. This application is used to process and store reinsurance treaty information for Allstate Financial.,,,
TAI Life Reinsurance System (AB),This application is used to process and store reinsurance treaty information for Allstate Benefits.,,,
Taleo,"Talent acquisition SaaS suite used by Allstate for the screening, recruitment and onboarding of employees and agents ( EA and EFS ).",,,
Talk Paths Portlet,Guided selling tips and prompts to help CIC/Users sell Allstate products,,17,
TalkPath Metric Reporting,CIC metrics for Talkpath cross-sell program which is implemented as part of CFR release 3.x,,,
TAM Agency,This is a page group name to be added in CMDB for TAM Agency related calls,,,
TAM Consumer,This is a page group name to be added in CMDB for TAM consumer related calls,,,
TAM MyDesktop,This is a page group name to be added in CMDB for TAM consumer related calls,,,
Target and Grow - TAG -Externally Hosted,List based campaign management tool hosted by Lexis Nexis and used by Agents,,,
Targeted Selection Access v4.0,"This online companion to Targeted Selection (TS) enables both administrators and interviewers to be more productive and effective. As an automated solution fully integrated into your selection system, TS: Access facilitates talent acquisition with less effort, time and cost",,,
TARSAS,TARSAS is a reinsurance administration system that was replaced in AFT by the TAI system. The reinsurance administration business team requires access to TARSAS data for a period of 7 years after the TAI system went live. This is now needed indefinitely as some historical premium/allowance information was unable to be migrated to TAI successfully. TARSAS is a PC-based system using an Oracle database and client/server technology.,,,
Tarsas (AB),TARSAS is a reinsurance administration system.,,,
"TARVIS - Translate, Adjust, Report, Verify, Input, Store","The application processes the Life Admin System accounting interfaces; Cyberlife (IL,NE,SU), Life 70, Transcend, manual journal vouchers, and provides functionality for Error Correction & Suspense processing.",,,
Tax Compliance Request Generator,To generate a 1099 Request/Correction form; merges user's selections & inputs into a Word document.,,,
Tax Interest 2011.2,Desktop software that calculates tax interest for Tax Department,,17,
TAX PARTNER,Creates online version of the IRS K1 Tax Form that is used for filing income from corporate partnerships. Allows tax to complete the K1 filing using the new K1 form. Creates reports required for filings.,,17,
TCI,"On the mainframe systems, a three-phase process is used to deliver software from Northbrook to the field datacenters.",,,
TDG - Test Data Generator,A testing tool (TDG) for the Billing QC team has been rewritten from VB6 to .Net by syntel and transitioned to the ANI test tool team before completion.,,,
TDOC PRINT CENTER,"TDoc Print Center was created as a tactical solution so that the DSPs (Direct Sales Professionals) in the CICs could select the appropriate trailing documents (based on state/line code combinations) and print the tdocs to send to the customer. This effort was part of the Consumer 2.0 Next Day Issuance project. A secondary benefit of the TDoc Print Center (and the long term strategic solution) was to create a repository where all of the verbiage for trailing documents could easily be housed, searched, updated, etc. Having all of the verbiage for TDocs in one location enabled Risk Management an easy way to edit/maintain as changes came in.",,17,
Team Metrics,Time Reporting and Capacity planning tool,,17,
Teen Memory Wall,Third party hosted website to promote teen safe driving. No integration with Allstate. No support by Allstate.,,17,
TERMINAL TABLE,"Contains limited office information which includes the office codes, addresses, office type code and printer codes. Each table is specific to a ROC.",,,
Termination Letters,"Mainframe DB2-based application which pushes termination information due to rejected new business or rejected renewals into Tibco/Business Works then other systems like EDMS, EDGS, Recon Reports etc.",,17,
Termination Survey,Survey filled out by employees when they end their employment at Allstate. This provides feedback on reasons for leaving as well as their experience at Allstate.,,17,
Texas Vehicle,"Agent and Underwriting use this website to search Texas Vehicle by Name, Address, License, Vin or Tag = BU is probably Risk Management RMBC",,17,
TFS Release Manager,Release manager application to pull objects from TFS,,,
Thanks A Million,Thanks A Million is an application that enables Allstate employees to call and document customer conversations to thank them for being an Allstate customer,,,
The Alley,"The Alley is a social media application that offers blogging, online communities, individual profiles and other features. These features are all integrated to create an engaging way to collaborate and connect with fellow employees, more easily access the information you need to do your job and share your personal and professional passions across the company.",,,
TheMarkets.com,TheMarkets.com is a web-based platform leveraging robust global content and proprietary technologies to provide clients investment research,,,
ThirdPartyCleanup,Accounting Services use this website to change Mortgagee / Lien Holder Bomt Code or Delete Bomt code.,,,
TIBCO Integration Dashboard,Used by SMCE TIBCO Integrations to collect and determine trending statistics. These statistics will be used for production support alerting (when statistics outside expected range) and with a SMCE TIBCO Integrations dashboard (Phase III) to give TIBCO Integration team members insight into day to day processing and projections for the future.,,,
TIBCO INVESTMENTS,Not an application; just libraries and common components,,17,
Time Driven Error Register,"This application produces a list of Time Driven Errors produced on the IL Cyber life system, and allows users to generate individualized reports of this information.",,,
Tivoli Usage and Accounting Manager v6.1,"Data Center CRE Usage Reporting tool. The ITUAM software measures, analyzes, reports and bills the utilization and costs of different computing resources within the target environment",,,
TJDO v2.1,"An open source implementation of Sun's Java Data Objects (JDO) specification, designed to support transparent persistence using any JDBC-compliant database.",,17,
TotalView Lite,"eMoney TotalView Lite will be offered to all existing and new AF customers. It will leverage Allstate.com myAccount and integrate with TotalView. Vision is to make it simple, easy to use and a convenient platform for the customers that differentiates Allstate from the competition, improves customer acquisition, retention and provides cross-sell and upsell opportunities.",,17,
"Tower Systems Suite (WebPlus, Phoenix, Mueller and BIPS)","Tower Group provides an externally hosted suite containing Quoting, Binding, Policy administration and Billing Payment systems.",,,
TOWING - APPLY,http://www.apply.arsnetwork.allstate.com - External ARS Website,,,
TOWING - TRAINING,http://www.training.arsnetwork.allstate.com - External ARS Website,,,
TPM Website,The AFT Technology Process Management Web site documents the value-added services and processes the TPM Teams provide to AFT.,,,
TRACE 700 v6.2.1,"This tool is used to perform energy and life cycle costs analyses. It incorporates all of the necessary inputs needed to evaluate the energy and cost impact of different lighting systems, equipment systems, building construction, control systems/BAS, sequences of operation, etc",,,
TRACKER,This application is used to manage the billing for telecommunications expenses at Allstate,,,
Trade Capture,GUI for Trade capture. Individual departments have additional pieces of Trade Capture which are installed to enable the application for a particular financial instrument (ABS-MBS,,,
TRAM,"An application used by Infrastructure Services to handle output from request center for IS """"run the business"""" work (QTRAM was the tactical version)",,17,
TransactNOW,TransactNOW connects authorized Encompass IAs with insurance carriers and also comes with a component that authenticates authorized Encompass agencies into PL Rating.,,17,
TRANSCEND,"Annuity policy and agent administration system used by reps to provide client information. Reps check if a request has been completed, make changes on client personal information, move money around, and process withdrawals from the customer account. This system is very important for fixed annuity and some Life because it is the main system with client information.",,17,
Transcend Reports Console,"A web-based dashboard that illustrates the current health of the Transcend Production system in regard to Processors, Brokers, etc.",,,
TRANSFER AND REFORMAT,Transfer and Reformat jobs are executed at the start of the Claims Cycle nightly batch processing. Transfer jobs unload daily NextGen and Legacy claim transactional input from CICS online files to batch files for batch transaction processing. Reformat jobs reformat the transaction data into input records for Cycle.,,17,
Transmittal and Control Facility (TACF),The TACF system handle the distribution and installation of AS/400 (iSeries) components across Allstate,,,
TRANSPORTER INTERFACE,Takes SSP records and reformats into managable segments,,,
TRater,Replacement for the Rate Generation Application. Note - Not yet in production.,,,
Treesize,A powerful and flexible harddisk space manager,,,
TreeView,Part of the Product Management Workstation suite of applications for internal analytical pricing. TreeView displays an easy to view selected rate structure (in a Windows Explorer tree structure).,,,
Trepp,"Trepp is a vended software that supplies historical data on Commercial Mortgage-Backed Securities (CMBS) that is used in the monitoring of different performance statistics which help identify potential issues with underlying collateral deals. Trepp is also used in the 99-20 process in conjunction with CMM to calculate projected cash flows. Trepp is used by the Company to determine whether or not a security is OTTI. This judgment is based on the cash flows projects from Trepp along with certain internal assumptions. Assumptions are entered into the Trepp applications to project cash flows. If an OTTI is determined, the Company will record the impairment based on the cash flow projections.",,,
TRIAL APPLICATION,Application to collect data around Allstate Financial Trial Applications to allow producers who are not licensed with Allstate Financial to get an idea of the data a product for a potential policy.,,,
TripMaker Planning Tool,Trip planning service,,,
TRITON,Field Sales application used for agency information.,,,
TRS - Time Reporting System,System used by ANI to report time,,,
